Species;Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;Amostra;site;lat;lon;date
Iris setosa;4.7;3.2;1.3;0.2;A3;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;5.4;3.9;1.7;0.4;A6;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;4.4;2.9;1.4;0.2;A9;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;4.8;3.4;1.6;0.2;A12;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;5.8;4;1.2;0.2;A15;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;5.4;3.9;1.3;0.4;A17;Site2;48.540.502;-64.766.512;13/02/1930
Iris setosa;5.1;3.5;1.4;0.3;A18;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;5.1;3.8;1.5;0.3;A20;Site2;48.540.502;-64.766.512;13/02/1930
Iris setosa;5.4;3.4;1.7;0.2;A21;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;4.6;3.6;1;0.2;A23;Site2;48.540.502;-64.766.512;13/02/1930
Iris setosa;5.1;3.3;1.7;0.5;A24;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;5;3;1.6;0.2;A26;Site2;48.540.502;-64.766.512;13/02/1930
Iris setosa;5;3.4;1.6;0.4;A27;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;5.2;3.4;1.4;0.2;A29;Site2;48.540.502;-64.766.512;13/02/1930
Iris setosa;4.7;3.2;1.6;0.2;A30;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;5.4;3.4;1.5;0.4;A32;Site2;48.540.502;-64.766.512;13/02/1930
Iris setosa;5.2;4.1;1.5;0.1;A33;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;4.9;3.1;1.5;0.2;A35;Site2;48.540.502;-64.766.512;13/02/1930
Iris setosa;5;3.2;1.2;0.2;A36;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;4.9;3.6;1.4;0.1;A38;Site2;48.540.502;-64.766.512;13/02/1930
Iris setosa;4.4;3;1.3;0.2;A39;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;5;3.5;1.3;0.3;A41;Site2;48.540.502;-64.766.512;13/02/1930
Iris setosa;4.5;2.3;1.3;0.3;A42;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;5.1;3.8;1.9;0.4;A45;Site1;48.935.966;-64.840.984;01/12/1929
Iris setosa;4.6;3.2;1.4;0.2;A48;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;7;3.2;4.7;1.4;A51;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;6.4;3.2;4.5;1.5;A52;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;6.9;3.1;4.9;1.5;A53;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;5.5;2.3;4;1.3;A54;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;6.5;2.8;4.6;1.5;A55;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;5.7;2.8;4.5;1.3;A56;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;6.3;3.3;4.7;1.6;A57;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;4.9;2.4;3.3;1;A58;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;6.6;2.9;4.6;1.3;A59;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;5.2;2.7;3.9;1.4;A60;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;5;2;3.5;1;A61;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;5.9;3;4.2;1.5;A62;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;6;2.2;4;1;A63;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;6.1;2.9;4.7;1.4;A64;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;5.6;2.9;3.6;1.3;A65;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;6.7;3.1;4.4;1.4;A66;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;5.6;3;4.5;1.5;A67;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;5.8;2.7;4.1;1;A68;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;6.2;2.2;4.5;1.5;A69;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;5.6;2.5;3.9;1.1;A70;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;5.9;3.2;4.8;1.8;A71;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;6.1;2.8;4;1.3;A72;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;6.3;2.5;4.9;1.5;A73;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;6.1;2.8;4.7;1.2;A74;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;6.4;2.9;4.3;1.3;A75;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;6.6;3;4.4;1.4;A76;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;6.8;2.8;5;1;A77;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;6.7;3;5;1.7;A78;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;6;2.9;4.5;1.5;A79;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;5.7;2.6;3.5;1;A80;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;5.5;2.4;3.8;1.1;A81;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;5.5;2.4;3.7;1;A82;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;5.8;2.7;3.9;1.2;A83;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;6;2.7;5.1;1.6;A84;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;5.4;3;4.5;1.5;A85;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;6;3.4;4.5;1.6;A86;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;6.7;3.1;4.7;1.5;A87;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;6.3;2.3;4.4;1.3;A88;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;5.6;3;4.1;1.3;A89;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;5.5;2.5;4;1.3;A90;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;5.5;2.6;4.4;1.2;A91;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;6.1;3;4.6;1.4;A92;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;5.6;2.7;4.2;1.3;A92;Site2;48.540.502;-64.766.512;13/02/1930
Iris versicolor;5.8;2.6;4;1.2;A93;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;5;2.3;3.3;1;A94;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;5.7;3;4.2;1.2;A96;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;5.7;2.9;4.2;1.3;A97;Site3;48.329.837;-65.512.333;01/12/1929
Iris versicolor;6.2;2.9;4.3;1.3;A98;Site2;48.540.502;-64.766.512;14/02/1930
Iris versicolor;5.1;2.5;3;1.1;A99;Site1;48.935.966;-64.840.984;01/12/1929
Iris versicolor;5.7;2.8;4.1;1.3;A100;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.3;3.3;6;2.5;A101;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;5.8;2.7;5.1;1.9;A102;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;7.1;3;5.9;2.1;A103;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.3;2.9;5.6;1.8;A104;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.5;3;5.8;2.2;A105;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;7.6;3;6.6;2.1;A106;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;4.9;2.5;4.5;1.7;A107;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;7.3;2.9;6.3;1.8;A108;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.7;2.5;5.8;1.8;A109;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;7.2;3.6;6.1;2.5;A110;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.5;3.2;5.1;2;A111;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.4;2.7;5.3;1.9;A112;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.8;3;5.5;2.1;A113;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;5.7;2.5;5;2;A114;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;5.8;2.8;5.1;2.4;A115;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.4;3.2;5.3;2.3;A116;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.5;3;5.5;1.8;A117;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;7.7;3.8;6.7;2.2;A118;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;7.7;2.6;6.9;2.3;A119;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6;2.2;5;1.5;A120;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.9;3.2;5.7;2.3;A121;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;5.6;2.8;4.9;2;A122;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;7.7;2.8;6.7;2;A123;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.3;2.7;4.9;1.8;A124;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.7;3.3;5.7;2.1;A125;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;7.2;3.2;6;1.8;A126;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.2;2.8;4.8;1.8;A127;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.1;3;4.9;1.8;A128;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.4;2.8;5.6;2.1;A129;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;7.2;3;5.8;1.6;A130;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;7.4;2.8;6.1;1.9;A131;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;7.9;3.8;6.4;2;A132;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.4;2.8;5.6;2.2;A133;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.3;2.8;5.1;1.5;A134;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.1;2.6;5.6;1.4;A135;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;7.7;3;6.1;2.3;A136;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.3;3.4;5.6;2.4;A137;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.4;3.1;5.5;1.8;A138;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6;3;4.8;1.8;A139;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.9;3.1;5.4;2.1;A140;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.7;3.1;5.6;2.4;A141;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.9;3.1;5.1;2.3;A142;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;5.8;2.7;5.1;1.9;A143;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.8;3.2;5.9;2.3;A144;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.7;3.3;5.7;2.5;A145;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.7;3;5.2;2.3;A146;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;6.3;2.5;5;1.9;A147;Site1;48.935.966;-64.840.984;01/12/1929
Iris virginica;6.5;3;5.2;2;A148;Site3;48.329.837;-65.512.333;01/12/1929
Iris virginica;6.2;3.4;5.4;2.3;A149;Site2;48.540.502;-64.766.512;13/02/1930
Iris virginica;5.9;3;5.1;1.8;A150;Site1;48.935.966;-64.840.984;01/12/1929
